Recipe Name,Total Time In Mins,URL,Cleaned-Ingredients,Ingredient-count
Masala Karela Recipe,45,https://www.archanaskitchen.com/masala-karela-recipe,"salt,amchur (dry mango powder),karela (bitter gourd pavakkai),red chilli powder,gram flour (besan),onion,cumin seeds (jeera),coriander powder,turmeric powder,sunflower oil",10
Spicy Tomato Rice (Recipe),15,https://www.archanaskitchen.com/spicy-tomato-rice-recipe-in-hindi,"tomato,salt,chickpea lentils,green chilli,rice,mustard,bc belle bhat powder,dry red chilli,cashew peanuts,oilasafoetida,cumin seeds,white urad dal",12
Ragi Semiya Upma Recipe - Ragi Millet Vermicelli Breakfast,50,https://www.archanaskitchen.com/ragi-vermicelli-semiya-recipe-healthy-finger-millet-semiya-breakfast,"salt,rice vermicelli noodles (thin),asafoetida (hing),mustard seeds,ghee,green peas (matar),carrot,curry leaves,white urad dal (split),onion,lemon,green chillies",12
Gongura Chicken Curry Recipe - Andhra Style Gongura Chicken,45,https://www.archanaskitchen.com/gongura-chicken-curry-recipe-andhra-style-gongura-chicken,"tomato,salt,ginger,sorrel leaves (gongura),fennel seeds (saunf),sesame (gingelly) oil,cloves garlic,coriander (dhania) seeds,onion,chicken,methi seeds (fenugreek seeds),dry red chillies,turmeric powder,green chillies,garam masala powder",15
Andhra Style Alam Pachadi Recipe - Adrak Chutney (Recipe),30,https://www.archanaskitchen.com/andhra-style-allam-pachadi-ginger-chutney-recipe-in-hindi,"tomato,salt,ginger,red chillies,curry,asafoetida,mustard,chana dal,onion,oil,coriander seeds,white urad dal",12
Pudina Khara Pongal Recipe (Rice and Lentils Cooked With Mint Leaves & Mild Spices),30,https://www.archanaskitchen.com/pudina-khara-pongal-recipe-rice-and-lentils-cooked-with-mint-leaves-mild-spices,"cashew nuts,salt,yellow moong dal (split),ginger,green chilli,rice,coriander (dhania) leaves,ghee,asafoetida (hing),water,black peppercorns,curry leaves,cumin seeds (jeera),mint leaves (pudina),sunflower oil",15
Udupi Style Ash Gourd Coconut Curry Recipe,40,https://www.archanaskitchen.com/udupi-style-ash-gourd-coconut-curry-recipe,"salt,tamarind water,coconut,mustard seeds,jaggery,vellai poosanikai (ash gourdwhite pumpkin),curry leaves,dry red chillies,coriander (dhania) seeds,methi seeds (fenugreek seeds),cumin seeds (jeera),turmeric powder,sesame seeds (til seeds),sunflower oil",14
Mexican Style Black Bean Burrito Recipe,40,https://www.archanaskitchen.com/black-bean-burrito-recipe,"tomato,spring onion greens,hung curd (greek yogurt),black beans,cloves garlic,rice brown rice,coriander (dhania) leaves,onion,lemon,cheddar cheese,spinach leaves (palak),tortillas",12
Spicy Crunchy Masala Idli Recipe,30,https://www.archanaskitchen.com/spicy-crunchy-masala-idli-recipe,"tomato,salt,coriander (dhania) leaves,idli,red chilli powder,tomato ketchup,onion,green bell pepper (capsicum),mint leaves (pudina),turmeric powder,green chillies,sunflower oil",12
Cauliflower Leaves Chutney (Recipe in Hindi),25,https://www.archanaskitchen.com/cauliflower-leaves-chutney-recipe-in-hindi,"tomato,salt,turmeric powder,red chillies,spoon oil,rye,asafoetida,cloves garlic,curry leaves,cabbage leaves,tamarind,cumin seeds,white urad dal",13
Homemade Baked Beans Recipe (Wholesome & Healthy),120,https://www.archanaskitchen.com/homemade-baked-beans-recipe-wholesome-healthy,"tomato,salt,cumin powder (jeera),pepper ( pepper),cloves garlic,virgin olive oil,onion,dry beans (such cannellini soya beans),red chilli powder cayenne pepper,dried oregano",10
Veg Chili Cheese Burgers Recipe,55,https://www.archanaskitchen.com/veg-chili-cheese-burgers-recipe,"cheese,salt,burger buns,potato (aloo) pressure,tomato,soy granules,eggs,cumin powder (jeera),tabasco original sauce,sunflower oil,red chilli powder,cloves garlic,red chilli flakes,jalapenos,onion,green bell pepper (capsicum),wheat bread crumbs,dried oregano",18
Andhra Steel Ingavu Charu Recipe - Asfoitida Flavored Tamarand Rasam,30,https://www.archanaskitchen.com/andhra-style-ingavu-chaaru-recipe-asafetida-flavored-tamarind-rasam,"salt,arhar dal (split toor dal),tamarind water,mustard seeds,asafoetida (hing),curry leaves,cumin seeds (jeera),methi seeds (fenugreek seeds),sunflower oil",9
And fish soup recipe - Bengali style fish in tomato gravy,20,https://www.archanaskitchen.com/aar-macher-jhol-recipe-bengali-style-fish-in-spicy-tomato-gravy,"tomato,salt,cumin powder (jeera),coriander powder,bay leaves (tej patta),mustard oil,coriander (dhania) leaves,water,sugar,cumin seeds (jeera),ginger paste,turmeric powder,green chillies,aar maach (fish) rohu katla fish (cut steaks)",14
Saunf Aloo (Fennel Potato Curry) Recipe,25,https://www.archanaskitchen.com/saunf-aloo-fennel-potato-curry-recipe,"fennel seeds (saunf),potato (aloo) skin,milk,red chilli powder,coriander (dhania) leaves,turmeric powder",6
South Indian Onion Chutney Recipe - South Indian Onion Chutney (Recipe),40,https://www.archanaskitchen.com/south-indian-onion-chutney-recipe-in-hindi,"salt,rye,jaggery,black urad dal (split),curry leaves,dry red chillies,onion,oil,tamarind paste,cumin seeds",10
